id,tweet,défigement_identifié,expression_reconnue,remarques
1466701467281154056',"« Cup cake », c’est le surnom populaire de Ramaphosa en Afrique du Sud… nous ne sommes pas les seuls à ne pas avoir une haute opinion de nos dirigeants sur ce continent. Comme ça tu sais. Soubah",,,
1546972642430881794',"Hello,

Au vu des récentes températures🌞, nous ne sommes pas les seuls à souffrir 🥵 et nos petites machines ont bien besoin d'un petit coup de frais également.

C'est pourquoi nous vous faisons gagner un #KLIM KN01 ➡️ https://t.co/QvBJd3MbdK

Follow @KLIMTechs + RT

TAS 24/06 https://t.co/HewYyAz4bI",,,
1550233999834058752',"@2Chauvier 🌞PS : même les plus doués font parfois des fautes d'orthographe, nous ne sommes pas les seuls à faire aussi parfois des fautes d'orthographe !",,,
1554133256404082688',Content de voir et d'entendre que nous ne sommes pas les seuls à comprendre le cynisme de cet individu. https://t.co/RLppXGGmBZ,,,
1599218561481814016',"nous ne sommes pas très loins du moment présent, tout au plus quelque part dans l'après-midi d'aujourd'hui. c'est un peu un « ça passe ou ça casse ». nous ne sommes prêts pour ce qui s'en vient ni mentalement ni physiquement",,,
