id,tweet,défigement_identifié,expression_reconnue,remarques
1326459659398520833',@Orthographe_off @neyostel La question est répondue ? Qu'est-ce que ça veut dire ?,,,
1331686999925862400',@Zieph J'aime bien ce moment où tu te demandes qu'est-ce que les slips ont fait pour devenir subitement hors la loi.,,,
1332086297402413058',"@Etbim56 @ogcnice Je dirais pas que c'est dur tellement pour nous ça coule de source.
Par contre qu'est-ce que ça fait mal bien souvent....",,,
1336832482356957188',"@NicolasCatard @NetgearFrance Satisfait ? M.D.R 1mbps à 3h du matin est-ce que c'est satisfaisant? La question est vite répondue...
@Iskillia",,,
1338322907378880515',"@OggieOgilthorp Non, jamais vu BCS, je veux l'écouter après Breaking Bad. Est-ce que c'est vraiment bon?",,,
