id,tweet,défigement_identifié,expression_reconnue,remarques
1555520329132408832',"Film c super dur de choisir mais l’étrange noel de monsieur jack
Serie : orange is the new black / breaking bad https://t.co/onh1ChkLtK",,,
1449385574406688769',aller ça recommence orange is the new black aka la soat OUI OUI meilleur que breaking bad messieurs,,,
1520488947046047744',@gal0pesalope Aussi Orange is the new black et breaking bad mais y a vla les saisons 😭,,,
1358696894420107264',"@SeriesUpdateFR Breaking bad, Orange is the new black (ouais je sais c'est l'abus)",,,
1344624499636006912',"Mes meilleures séries against all sont donc Breaking Bad, Orange Is The New Black et South Park.
Et vous?",,,
