id,tweet,défigement_identifié,expression_reconnue,remarques
1492145009709223936',@skitz_cvnt j'ai peur que mon tweet ait été mal interprété mais c'est pas grave je vais y réfléchir en allant mettre mes poubelles,,,
1419922207384477701',"Beaucoup trop d'amour pour elle. Ce moment où elle passe la ligne avec son petit sourire genre ""Bon bah désolée, mais c'est pas grave c'est le sport"", c'est trop pour mon petit coeur. https://t.co/qH0sq3Ivni",,,
1413234420195151875',"0-2 week, mais c'est pas grave on va travailler pour revenir encore plus forts !

GGWP @LDLC_OL 🤝 https://t.co/eI40Wo4GPN",,,
1406996643019472899',"@spideycthb ohh mais c'est pas grave ya pas toujours la taille qui compte ça dépend aussi de la matière, de comment est fait le pantalon te demoralise pas pour ça, je suis sur que t'es magnifique quoi qu'il en soit, j'espère que tu va bien &lt;3",,,
1562379389597368320',"Ptn sa me fout la haine. J'ai une ptn de rage de dents et aucun dentiste veux me prendre !!
J'vais même plus pouvoir aller travailler correctement au boulot mais c'est pas grave ! Faut attendre minimum que j'ai la bouche en sang pour être pris ?",,,
